CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,Year
2013-06-11,16:20,,,40.8361022,-73.9348702,"(40.8361022, -73.9348702)",,,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,2867830,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2013
2013-05-28,11:35,QUEENS,11426.0,40.7266697,-73.729144,"(40.7266697, -73.729144)",BRADDOCK AVENUE                 ,239 STREET                      ,,1.0,0.0,0,0,0,0,1,0,Unspecified,Unspecified,,,,223824,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2013
2013-06-11,0:08,BROOKLYN,11205.0,40.6946875,-73.955197,"(40.6946875, -73.955197)",MYRTLE AVENUE                   ,SPENCER STREET                  ,,0.0,0.0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,181197,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,2013
2013-05-21,11:50,QUEENS,11378.0,40.73225,-73.9245129,"(40.73225, -73.9245129)",43 STREET                       ,54 AVENUE                       ,,0.0,0.0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,242237,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,2013
2013-06-07,23:40,BRONX,10460.0,40.8382406,-73.8766813,"(40.8382406, -73.8766813)",EAST 177 STREET                 ,BRONX PARK AVENUE               ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,101457,PASSENGER VEHICLE,UNKNOWN,,,,2013
2013-05-25,8:35,BRONX,10467.0,40.8806582,-73.8776152,"(40.8806582, -73.8776152)",EAST GUN HILL ROAD              ,WAYNE AVENUE                    ,,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,111517,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2013
2013-05-24,5:35,BRONX,10461.0,40.8427146,-73.8512074,"(40.8427146, -73.8512074)",EAST TREMONT AVENUE             ,SEDDON STREET                   ,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,90443,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2013
2013-06-07,13:00,MANHATTAN,10017.0,40.7521394,-73.97977,"(40.7521394, -73.97977)",EAST 41 STREET                  ,MADISON AVENUE                  ,,1.0,0.0,1,0,0,0,0,0,Unspecified,,,,,29241,SPORT UTILITY / STATION WAGON,,,,,2013
2013-06-12,22:03,BRONX,10458.0,40.8695216,-73.8898927,"(40.8695216, -73.8898927)",EAST 198 STREET                 ,VALENTINE AVENUE                ,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,111681,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,2013
2013-06-11,21:40,MANHATTAN,10017.0,40.7514416,-73.9760491,"(40.7514416, -73.9760491)",EAST 42 STREET                  ,LEXINGTON AVENUE                ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,29291,PASSENGER VEHICLE,UNKNOWN,,,,2013
2013-06-09,13:00,BROOKLYN,11229.0,40.6114767,-73.9488203,"(40.6114767, -73.9488203)",BEDFORD AVENUE                  ,AVENUE P                        ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,119162,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,2013
2013-05-20,18:40,BROOKLYN,11222.0,40.7229653,-73.9453579,"(40.7229653, -73.9453579)",DIAMOND STREET                  ,DRIGGS AVENUE                   ,,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Driver Inexperience,,,,199641,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,,2013
2013-05-20,0:15,MANHATTAN,10011.0,40.7346873,-73.9999711,"(40.7346873, -73.9999711)",GREENWICH AVENUE                ,WEST 10 STREET                  ,,1.0,0.0,0,0,0,0,1,0,Unspecified,,,,,10854,MOTORCYCLE,,,,,2013
2013-06-11,14:35,QUEENS,11434.0,40.6796533,-73.7772287,"(40.6796533, -73.7772287)",BAISLEY BOULEVARD               ,166 STREET                      ,,0.0,0.0,0,0,0,0,0,0,Traffic Control Disregarded,,,,,270413,PASSENGER VEHICLE,,,,,2013
2013-06-10,1:13,,,40.7982287,-73.9290925,"(40.7982287, -73.9290925)",,,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,2864699,PASSENGER VEHICLE,,,,,2013
2013-06-04,8:53,BRONX,10475.0,40.86832,-73.8331589,"(40.86832, -73.8331589)",BARTOW AVENUE                   ,EDSON AVENUE                    ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,97669,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,OTHER,PASSENGER VEHICLE,BUS,2013
2013-06-05,14:50,BRONX,10465.0,40.8217901,-73.8075325,"(40.8217901, -73.8075325)",LONGSTREET AVENUE               ,MILES AVENUE                    ,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,90504,PASSENGER VEHICLE,,,,,2013
