UNIQUE_ID,COLLISION_ID,CRASH_DATE,CRASH_TIME,VEHICLE_ID,STATE_REGISTRATION,VEHICLE_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,TRAVEL_DIRECTION,VEHICLE_OCCUPANTS,DRIVER_SEX,DRIVER_LICENSE_STATUS,DRIVER_LICENSE_JURISDICTION,PRE_CRASH,POINT_OF_IMPACT,VEHICLE_DAMAGE,VEHICLE_DAMAGE_1,VEHICLE_DAMAGE_2,VEHICLE_DAMAGE_3,PUBLIC_PROPERTY_DAMAGE,PUBLIC_PROPERTY_DAMAGE_TYPE,CONTRIBUTING_FACTOR_1,CONTRIBUTING_FACTOR_2,Year
14085599,280430,2012-10-09,9:45,2,NY,UNKNOWN,,,,,,,,,,,,,,,,,Unspecified,,2012
12832814,219643,2012-07-19,10:45,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Physical Disability,,2012
9273266,45374,2012-08-12,3:16,2,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Illness,,2012
12250779,194742,2012-11-12,6:10,1,NH,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,,2012
13843143,268350,2012-08-09,18:00,1,NY,UNKNOWN,,,,,,,,,,,,,,,,,Unspecified,,2012
9436885,57811,2012-09-12,12:50,2,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Fatigued/Drowsy,,2012
13080124,3033180,2012-07-18,3:30,2,FL,UNKNOWN,,,,,,,,,,,,,,,,,Fatigued/Drowsy,,2012
13081305,3033333,2012-09-12,22:55,2,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Unspecified,,2012
8530901,9713,2012-09-06,23:45,2,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,,2012
11560731,157022,2012-12-18,17:00,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,,2012
13226753,238863,2012-07-22,16:23,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,,2012
10157117,89060,2012-09-23,19:51,2,NJ,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Cell Phone (hands-free),,2012
13746427,3089592,2012-09-09,6:32,1,NY,TAXI,,,,,,,,,,,,,,,,,Fatigued/Drowsy,,2012
13645948,260059,2012-09-28,17:05,2,NY,OTHER,,,,,,,,,,,,,,,,,Fatigued/Drowsy,,2012
9396999,55917,2012-10-29,10:25,1,NY,TAXI,,,,,,,,,,,,,,,,,Unspecified,,2012
9792884,72648,2012-07-09,11:15,1,NY,VAN,,,,,,,,,,,,,,,,,Unspecified,,2012
14392138,294343,2012-09-24,9:10,3,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,,2012
11560722,157017,2012-12-18,11:34,2,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Prescription Medication,,2012
8393785,1326,2012-11-25,1:05,2,NY,UNKNOWN,,,,,,,,,,,,,,,,,Unspecified,,2012
8700572,17864,2012-12-09,0:30,1,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Unspecified,,2012
8614737,14509,2012-11-08,20:00,2,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Unspecified,,2012
10603989,110235,2012-10-26,16:30,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,,2012
8881552,27223,2012-10-31,7:50,2,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Unspecified,,2012
9965659,80935,2012-07-14,11:50,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,,2012
12657228,214215,2012-10-13,8:00,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,,2012
10222448,92403,2012-09-08,4:55,2,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,,2012
13979800,273910,2012-11-05,13:15,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,,2012
