VehiclePicture,OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,combinedSideBarrierAndPoleRating-Front,combinedSideBarrierAndPoleRating-Rear,sideBarrierRating-Overall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,dynamicTipResult,SidePoleCrashRating,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,ComplaintsCount,RecallsCount,InvestigationCount,ModelYear,Make,Model,VehicleDescription,VehicleId,FrontCrashPicture,FrontCrashVideo,SideCrashPicture,SideCrashVideo,SidePolePicture,SidePoleVideo
https://static.nhtsa.gov/images/vehicles/7284_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,42,4,2,2011,AUDI,A3,2011 Audi A3 4 DR FWD,1,,,,,,
,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,0,2,0,2011,AUDI,S6 AVANT,2011 Audi S6 Avant SW AWD,13,,,,,,
https://static.nhtsa.gov/images/vehicles/6860_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,4,Not Rated,0.151,0.0,No Tip,Not Rated,Standard,No,No,138,5,0,2011,AUDI,Q5,2011 Audi Q5 SUV AWD,15,,,,,,
,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,0,0,0,2011,AUDI,R8 SPYDER,2011 Audi R8 Spyder C AWD,18,,,,,,
https://static.nhtsa.gov/images/vehicles/7246_st0640_046.png,5,4,4,4,5,5,5,5,5,5,5,Not Rated,0.093,0.0,No Tip,5,Standard,Optional,Optional,260,8,0,2011,BMW,535I XDRIVE GT,2011 BMW 535 I Xdrive GT 4 DR 4WD,27,,,,,,
https://static.nhtsa.gov/images/vehicles/7246_st0640_046.png,5,4,4,4,5,5,5,5,5,5,5,Not Rated,0.093,0.0,No Tip,5,Standard,Optional,Optional,162,7,0,2011,BMW,550I XDRIVE,2011 BMW 550 I Xdrive 4 DR 4WD,30,,,,,,
https://static.nhtsa.gov/images/vehicles/7299_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,5,Not Rated,0.093,0.0,No Tip,Not Rated,Standard,No,No,647,11,1,2011,BMW,328I,2011 BMW 328 I C RWD,37,,,,,,
https://static.nhtsa.gov/images/vehicles/6742_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,647,11,1,2011,BMW,328I XDRIVE,2011 BMW 328 I Xdrive 2 DR 4WD,41,,,,,,
https://static.nhtsa.gov/images/vehicles/6742_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,164,11,1,2011,BMW,335I XDRIVE,2011 BMW 335 I Xdrive 2 DR 4WD,48,,,,,,
https://static.nhtsa.gov/images/vehicles/6734_st0640_046.png,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Optional,Optional,16,2,0,2011,BMW,750I,2011 BMW 750 I 4 DR RWD,59,,,,,,
https://static.nhtsa.gov/images/vehicles/6913_st0640_046.png,3,2,3,2,5,5,5,3,5,5,4,Not Rated,0.198,0.0,No Tip,1,Standard,No,No,659,4,2,2011,RAM,1500 CREW,2011 Ram 1500 Crew PU/CC RWD,108,https://static.nhtsa.gov/crashTest/images/2011/v07115P068.jpg,https://static.nhtsa.gov/crashTest/videos/2011/v07115C001.wmv,https://static.nhtsa.gov/crashTest/images/2011/v07111P047.jpg,https://static.nhtsa.gov/crashTest/videos/2011/v07111C001.wmv,https://static.nhtsa.gov/crashTest/images/2011/v07075P070.jpg,https://static.nhtsa.gov/crashTest/videos/2011/v07075C012.wmv
,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,No,No,1,2,1,2011,FREIGHTLINER,SPRINTER 3500 CARGO VAN,2011 Freightliner Sprinter 3500 Cargo Van VAN RWD,116,,,,,,
