CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,Year
2024-01-03,21:45,BRONX,10456.0,40.822487,-73.90827,"(40.822487, -73.90827)",,,854       EAGLE AVENUE,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4697578,Sedan,,,,,2024
2024-01-03,20:39,BROOKLYN,11236.0,40.63874,-73.8952,"(40.63874, -73.8952)",ROCKAWAY PARKWAY,AVENUE L,,8.0,0.0,0,0,0,0,8,0,Brakes Defective,Driver Inattention/Distraction,Unspecified,,,4692680,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,,2024
2024-01-03,12:31,,,,,,LINDEN PLACE,WHITESTONE EXPRESSWAY,,1.0,0.0,0,0,0,0,1,0,Traffic Control Disregarded,Traffic Control Disregarded,,,,4692513,Sedan,Sedan,,,,2024
2024-01-03,15:00,MANHATTAN,10010.0,40.737457,-73.97781,"(40.737457, -73.97781)",,,345       EAST 24 STREET,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4692606,Station Wagon/Sport Utility Vehicle,,,,,2024
2024-01-03,10:55,QUEENS,11358.0,40.76213,-73.80375,"(40.76213, -73.80375)",162 STREET,NORTHERN BOULEVARD,,1.0,0.0,1,0,0,0,0,0,Unspecified,,,,,4692512,Station Wagon/Sport Utility Vehicle,,,,,2024
2024-01-03,19:38,QUEENS,11416.0,40.6872,-73.84245,"(40.6872, -73.84245)",101 STREET,97 AVENUE,,1.0,0.0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,4692870,Station Wagon/Sport Utility Vehicle,Motorcycle,,,,2024
2024-01-03,20:09,BROOKLYN,11214.0,40.607067,-74.00232,"(40.607067, -74.00232)",,,1815      86 STREET,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4692765,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2024
2024-01-03,9:20,MANHATTAN,10016.0,40.746403,-73.97973,"(40.746403, -73.97973)",EAST 34 STREET,LEXINGTON AVENUE,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4693094,Sedan,Sedan,,,,2024
2024-01-03,0:55,BROOKLYN,11238.0,40.67337,-73.96188,"(40.67337, -73.96188)",,,485       SAINT JOHNS PLACE,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4692127,Station Wagon/Sport Utility Vehicle,Ambulance,,,,2024
2024-01-03,22:50,,,40.73641,-73.92855,"(40.73641, -73.92855)",LONG ISLAND EXPRESSWAY,,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4692492,Flat Rack,Station Wagon/Sport Utility Vehicle,,,,2024
