UNIQUE_ID,COLLISION_ID,CRASH_DATE,CRASH_TIME,PERSON_ID,PERSON_TYPE,PERSON_INJURY,VEHICLE_ID,PERSON_AGE,EJECTION,EMOTIONAL_STATUS,BODILY_INJURY,POSITION_IN_VEHICLE,SAFETY_EQUIPMENT,PED_LOCATION,PED_ACTION,COMPLAINT,PED_ROLE,CONTRIBUTING_FACTOR_1,CONTRIBUTING_FACTOR_2,PERSON_SEX,Year
12858376,4694129,2024-01-02,17:05,d1d49616-a404-4bbb-a744-825f0acafb7e,Occupant,Unspecified,20582673.0,,,,,,,,,,Registrant,,,F,2024
12858401,4694013,2024-01-02,9:15,704e7413-9908-4445-bd9e-5c504217fdb4,Occupant,Unspecified,20582685.0,,,,,,,,,,Registrant,,,,2024
12859260,4694196,2024-01-02,15:15,9fe903cb-8f28-40bf-8d3f-0a24410748fa,Occupant,Unspecified,20583153.0,,,,,,,,,,Registrant,,,,2024
12850767,4692179,2024-01-02,5:30,2c93c47f-6cfb-400a-a52e-51fed90c3558,Occupant,Unspecified,20578337.0,54.0,,,,,,,,,Registrant,,,M,2024
12853245,4692522,2024-01-02,22:00,7723b5ef-a1be-4e5d-95ee-009b81e14b4f,Occupant,Unspecified,20579798.0,33.0,,,,,,,,,Registrant,,,M,2024
12870860,4693040,2024-01-02,10:06,8fba8aef-f98e-4f5e-b11a-4cc218fc16ae,Occupant,Unspecified,20589733.0,29.0,,,,,,,,,Registrant,,,F,2024
12874964,4692413,2024-01-02,5:56,72c9344b-186f-4f53-88c0-796191a3381f,Occupant,Unspecified,20592064.0,47.0,,,,,,,,,Registrant,,,M,2024
12851881,4692356,2024-01-02,21:18,443e733f-9cf9-47f0-a7fc-763a3cbc7a08,Occupant,Unspecified,20579013.0,56.0,,,,,,,,,Registrant,,,M,2024
12850418,4691918,2024-01-02,6:02,6e9fd5d8-dae6-444d-a120-13ae33f4f576,Occupant,Unspecified,20578156.0,38.0,,,,,,,,,Registrant,,,M,2024
12852512,4692552,2024-01-02,11:19,f6bd5d8d-d423-44df-8646-e9f40f6e52d5,Occupant,Unspecified,20579382.0,28.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt,,,Does Not Apply,Driver,,,M,2024
