UNIQUE_ID,COLLISION_ID,CRASH_DATE,CRASH_TIME,VEHICLE_ID,STATE_REGISTRATION,VEHICLE_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,TRAVEL_DIRECTION,VEHICLE_OCCUPANTS,DRIVER_SEX,DRIVER_LICENSE_STATUS,DRIVER_LICENSE_JURISDICTION,PRE_CRASH,POINT_OF_IMPACT,VEHICLE_DAMAGE,VEHICLE_DAMAGE_1,VEHICLE_DAMAGE_2,VEHICLE_DAMAGE_3,PUBLIC_PROPERTY_DAMAGE,PUBLIC_PROPERTY_DAMAGE_TYPE,CONTRIBUTING_FACTOR_1,CONTRIBUTING_FACTOR_2,Year
20579807,4692784,2024-01-04,8:57,f8e74fde-112c-478f-928a-b5104b6ae881,OH,Tractor Truck Diesel,VOLV -TRUCK/BUS,,2014.0,East,1.0,M,Licensed,PA,Going Straight Ahead,Trailer,Trailer,,,,N,,Unspecified,Unspecified,2024
20580227,4692801,2024-01-04,1:30,b81736db-6be3-4e3f-a5ef-c45c45d6c05b,NY,Sedan,TOYT -CAR/SUV,,2022.0,North,0.0,M,Licensed,NY,Parked,Center Back End,Center Back End,Right Rear Bumper,Left Rear Bumper,,N,,Unspecified,Unspecified,2024
20581295,4693163,2024-01-04,0:00,dfaedbc4-ec5e-4f9b-9413-5367fed22305,,,,,,,,,,,,,,,,,Unspecified,STORE FRONT BUSINESS,,,2024
20581019,4693209,2024-01-04,8:15,e232f9d2-d629-401f-97e0-625979c8cb4f,,,,,,,,,,,Going Straight Ahead,,,,,,Unspecified,,Passing or Lane Usage Improper,Unspecified,2024
20580484,4692993,2024-01-04,7:10,4f23cf61-2f66-4c1b-a8c8-5c73aa9c6c54,PA,Station Wagon/Sport Utility Vehicle,FORD -CAR/SUV,,2015.0,North,1.0,M,Licensed,PA,Going Straight Ahead,Left Front Quarter Panel,Left Front Quarter Panel,,,,N,,Unspecified,Unspecified,2024
20583736,4694517,2024-01-04,0:26,cd7ded64-e615-4d80-b117-4a35b5aa57c4,NJ,Sedan,MAZD -CAR/SUV,,2010.0,South,1.0,F,,,Going Straight Ahead,Right Front Bumper,Right Front Bumper,Right Front Quarter Panel,No Damage,No Damage,N,,Fell Asleep,Unspecified,2024
20579583,4692732,2024-01-04,14:20,ac0ed67b-e52a-4535-bf1c-38150beced64,NY,Station Wagon/Sport Utility Vehicle,LNDR -CAR/SUV,,2015.0,South,1.0,M,Licensed,NY,Going Straight Ahead,Center Back End,Center Back End,Center Front End,No Damage,No Damage,N,,Unspecified,Unspecified,2024
20580452,4693069,2024-01-04,18:10,35f69690-9b2d-44a8-8c6b-21a4d2bb6698,,Station Wagon/Sport Utility Vehicle,FORD -CAR/SUV,,,,,,,,Merging,Center Front End,Center Front End,,,,Unspecified,,Passing or Lane Usage Improper,Driver Inattention/Distraction,2024
20584527,4694952,2024-01-04,17:00,8de96e4f-e49d-499b-8ce8-1132517e9913,NY,Sedan,TOYT -CAR/SUV,,2021.0,North,1.0,M,Licensed,LA,Stopped in Traffic,Right Side Doors,Right Side Doors,No Damage,No Damage,No Damage,N,,Unspecified,Unspecified,2024
20580682,4693006,2024-01-04,15:25,da6f7b79-29d2-464b-a715-22ca60eecaea,AL,Sedan,CHEV -CAR/SUV,,2009.0,East,1.0,,,,Starting in Traffic,Center Front End,Center Front End,,,,N,,Following Too Closely,Driver Inattention/Distraction,2024
20579845,4692718,2024-01-04,17:13,ad56fb3c-54d4-4e0d-9a29-c608188a8af2,NY,Pick-up Truck,DODG -CAR/SUV,,2015.0,West,2.0,M,Licensed,NY,Going Straight Ahead,Right Rear Bumper,Right Rear Bumper,Center Back End,,,N,,Unspecified,Unspecified,2024
20581338,4693247,2024-01-04,8:00,7059ed62-b867-44ce-865a-94ae1f33958d,,,,,,,,,,,,,,,,,Unspecified,,,,2024
20580291,4692838,2024-01-04,17:30,177b762a-ab62-4554-ba9b-ee98ff1cee0a,NY,Sedan,MERZ -CAR/SUV,,2017.0,Unknown,0.0,F,Licensed,NY,Parked,Right Rear Bumper,Right Rear Bumper,,,,Unspecified,,Unspecified,Unspecified,2024
20579784,4692616,2024-01-04,0:38,af398984-0b6a-4fac-85ed-97db92947ec9,NY,Sedan,SUBA -CAR/SUV,,2008.0,North,0.0,F,Licensed,NY,Going Straight Ahead,Center Front End,Left Front Bumper,Left Front Bumper,Center Front End,Right Front Bumper,N,,Unspecified,Unspecified,2024
20580651,4693027,2024-01-04,18:29,19f332c2-49c5-4791-b759-cedc87295897,NY,Sedan,VOLK -CAR/SUV,,2019.0,West,3.0,M,Licensed,NY,Going Straight Ahead,Center Front End,Center Front End,Left Front Bumper,Right Front Bumper,No Damage,N,,Following Too Closely,Unspecified,2024
20581751,4693635,2024-01-04,18:00,eef59ca6-7635-44d0-bc20-30d3c030f0c4,NY,Station Wagon/Sport Utility Vehicle,MERZ -CAR/SUV,,2011.0,North,1.0,F,Licensed,NY,Slowing or Stopping,Center Back End,Center Back End,Center Front End,Left Rear Bumper,Right Rear Bumper,N,,Following Too Closely,Unspecified,2024
20580473,4692964,2024-01-04,15:55,fe9b02bf-e9dd-4105-870a-76c4f57eb84f,NY,Station Wagon/Sport Utility Vehicle,HOND -CAR/SUV,,2019.0,North,1.0,F,Licensed,NY,Going Straight Ahead,Center Front End,Right Front Bumper,Center Front End,,,N,,Traffic Control Disregarded,View Obstructed/Limited,2024
20580674,4693038,2024-01-04,17:59,aa262395-3967-4b2d-92b8-d62c006d0202,NY,Sedan,HOND -CAR/SUV,,2017.0,West,1.0,M,Licensed,NY,Making Left Turn,Right Side Doors,Right Side Doors,Right Front Quarter Panel,Right Rear Quarter Panel,No Damage,N,,Unspecified,Unspecified,2024
20579516,4692688,2024-01-04,15:50,efe4ccd1-1684-4d53-8acd-c0aee47309d0,,FORK LIFT,,,,South,1.0,M,Licensed,NY,Going Straight Ahead,Center Front End,Center Front End,,,,N,,Driver Inattention/Distraction,Unspecified,2024
20580528,4692958,2024-01-04,14:00,14d715c1-9a3f-453b-b7d7-e47e3e59df49,NY,Motorcycle,YAMA -MCL,,2017.0,West,0.0,M,Licensed,NY,Going Straight Ahead,Center Front End,Center Front End,Center Front End,Center Front End,Center Front End,N,,Driver Inexperience,Driver Inexperience,2024
20580603,4692954,2024-01-04,15:45,7cd0cea8-3940-4468-9455-c84b29608225,,,,,,Unknown,,,,,Going Straight Ahead,No Damage,,,,,Unspecified,,Unspecified,Driver Inattention/Distraction,2024
